sheepID,app,pen,breed,timeout,self,other,guest,prop,near,engsheep,engvisitor
33,a,2,2,5,1,0,6,2,4,3,12
51,d,1,2,8,9,0,5,1,1,4,3
60,a,2,1,7,2,0,2,0,0,3,0
79,b,1,1,6,3,0,1,6,0,2,0
96,c,1,2,3,7,0,5,9,0,3,0
111,d,1,2,1,1,0,17,2,3,1,2
158,c,2,2,9,2,0,11,1,9,2,2
172,b,1,2,8,2,0,7,2,5,1,0
197,b,1,2,5,4,0,6,0,2,2,0
249,a,2,2,9,1,0,0,0,2,0,0
253,b,1,1,9,7,0,1.7,2,6,2,0
283,c,2,2,1,3,0,1,1,4,3,0
302,c,2,2,3,18,0,15,0,13,6,5
316,a,2,2,8,1,0,7,4,1,3,5
329,b,2,1,7,5,0,2,0,0,0,0
338,d,1,1,1,4,0,32.2,1,9,8,1
356,b,2,2,4,2,0,3,3,5,21,0
357,b,1,2,2,18,0,11,5,2,9,0
367,c,1,1,6,15,0,3,1,11,6,0
416,b,1,1,5,6,0,9,1,4,10,0
427,b,1,2,3,0,0,3,0,0,3,0
543,c,1,2,2,6,0,6,3,2,3,1
657,c,1,1,7,6,0.3,7,4,2,10,1
692,a,1,1,5,5,0,5.7,7,1,2,0
722,c,1,1,6,12,0,28.4,0,3,0,0
762,a,1,2,2,3,0,1,0,0,1,0
790,a,1,1,1,5,0,12.4,5,3,4,0
810,b,2,2,4,0,0,2,2,0,1,0
825,a,1,2,1,9,0,8,6,2,3,1
846,c,2,1,4,0,0,4,2,4,9,0
929,d,1,2,3,7,0,0,2,5,11,0
947,b,2,1,3,6,0,5,4,0,4,0
967,b,1,2,1,2,0,0,1,2,5,0
975,c,2,2,8,4,0,4,13,5,1,10
1009,d,1,1,9,13,1.6,6,31,8,8,3
1034,c,2,1,9,2,0,9,1,3,1,0
1052,d,2,2,2,9,0,8,1,11,9,0
1072,c,2,2,4,1,0,7,0,4,15,0
1121,b,1,2,7,11,1,13,1,1,3,7
1139,c,1,1,3,6,0,10,2,5,10,9
1151,d,2,2,2,1,0,5,0,7,3,3
1178,b,1,1,7,6,0,5,1,0,1,0
1325,a,2,2,7,7,0,10,11,3,0,1
1330,d,2,2,4,2,0,8,3,3,5,0
1370,c,2,2,2,0,0,3,0,1,11,0
1396,b,1,2,7,7,0,2,1,0,8,1
